"scientific_name","taxocode","a3_code","isscaap","english_name"
"Lepophidium negropinna","1580201203","DGQ",34,"Specklefin cusk-eel"
"Abyssobrotula galatheae","1580202001","OAG",34,""
"Acanthonus armatus","1580202101","OAA",34,""
"Apagesoma delosommatus","1580202201","OAD",34,""
"Barathrites iris","1580202301","OBI",34,""
"Bassogigas gillii","1580202401","OBG",34,""
"Bassozetus compressus","1580202501","OBO",34,""
"Bathyonus laticeps","1580202601","OBP",34,""
"Benthocometes robustus","1580202701","OBR",34,""
"Cherublemma emmelas","1580202801","OCL",34,"Black brotula"
"Chilara taylori","1580202901","OCY",34,"Spotted cusk-eel"
"Dannevigia tusca","1580203001","ODT",34,"Australian tusk"
"Dicrolene intronigra","1580203101","ODI",34,""
"Epetriodus freddyi","1580203201","OEF",34,""
"Glyptophidium japonicum","1580203301","OGJ",34,""
"Holcomycteronus aequatoris","1580203401","OHE",34,""
"Homostolus acer","1580203501","OHR",34,""
"Hypopleuron caninum","1580203601","OHN",34,""
"Lamprogrammus brunswigi","1580203701","OLB",34,""
"Luciobrotula bartschi","1580203801","OLR",34,""
"Monomitopus agassizii","1580203901","OMN",34,""
"Neobythites analis","1580204001","ONS",34,"Black-edged cusk-eel"
"Otophidium chickcharney","1580204101","OOC",34,""
"Penopus microphthalmus","1580204201","OPW",34,""
"Petrotyx hopkinsi","1580204301","PXH",34,"Velvetnose brotula"
"Porogadus abyssalis","1580204401","PUY",34,""
"Pycnocraspedum fulvum","1580204501","PCF",34,""
"Raneya fluminensis","1580204601","RYF",34,""
"Selachophidium guentheri","1580204701","SOU",34,"Barbed brotula"
"Sirembo imberbis","1580204801","OSI",34,""
"Spectrunculus grandis","1580204901","OSG",34,""
"Spottobrotula amaculata","1580205001","OSU",34,""
"Xyelacyba myersi","1580205101","OXM",34,""
"Ophidiidae","15802XXXXX","OPH",34,"Cusk-eels, brotulas nei"
"Disparichthys fluviatilis","1580500101","DIV",33,""
"Echiodon cryomargarites","1580500201","ECI",33,"Messmate"
"Encheliophis boraborensis","1580500301","ENB",33,"Pinhead pearlfish"
"Eurypleuron owasianum","1580500401","EUW",33,""
"Onuxodon fowleri","1580500501","OXF",33,""
"Pyramodon punctatus","1580500601","PYJ",33,"Dogtooth pearlfish"
"Snyderidia bothrops","1580500701","SNB",33,""
"Carapus acus","1580501001","CPW",33,""
"Abythites lepidogenys","1580600101","AHD",34,""
"Bellottia apoda","1580600201","BTP",34,""
